Title,Description,URL
One-Punch Man,"Studios: Madhouse
Genres: Action, Comedy",https://youtu.be/atxYe-nOa9w?si=B5f9qNGRIpOwAfVf
Chainsaw Man ,"Studios: MAPPA
Genres: Action, Fantasy",https://youtu.be/dFlDRhvM4L0?si=kdRa-zTI80A-8QDC
Cyberpunk: Edgerunners ,"Studios: Trigger
Genres: Action, Sci-Fi",https://youtu.be/OifiVCnFKzM?si=BwHOro2TNJp2ewIz
Dan Da Dan,"Studios: Science SARU
Genres: Action, Comedy, Supernatural",https://youtu.be/a4na2opArGY?si=Rn0rcag25jB7e5WQ
Demon Slayer,"Studios: ufotable
Genres: Action, Award Winning, Supernatural",https://youtu.be/pmanD_s7G3U?si=nOcB09ERiCG1hvUK
Fire Force,"Studios: David Production
Genres: Action, Fantasy, Sci-Fi",https://youtu.be/JBqxVX_LXvk?si=Xc_QO6iKEbPRfsfd
Jujutsu Kaisen,"Studios: MAPPA
Genres: Action, Award Winning, Supernatural",https://youtu.be/GwaRztMaoY0?si=d_5EpF-fTPWoFNZF
Kuroko's Basketball ,"Studios: Production I.G
Genre: Sports",https://youtu.be/5RVEM8-UKlg?si=UBpMIi0G6gRttL8p
Solo Leveling,"Studios: A-1 Pictures
Genres: Action, Adventure, Fantasy",https://youtu.be/XqD0oCHLIF8?si=7C8fdLGPspo_mlsq
Sword Art Online,"Studios: A-1 Pictures
Genres: Action, Adventure, Fantasy, Romance",https://youtu.be/Y4kfe8R1Iqs?si=SOIek1sV63ni4alv
A Certain Magical Index,"Studios: J.C.Staff
Genres: Action, Fantasy, Sci-Fi",https://youtu.be/fv2Ybecq92E?si=Xj9YfCnIbfMMZES8
A Certain Scientific Railgun ,"Studios: J.C.Staff
Genres: Action, Fantasy, Sci-Fi",https://youtu.be/WTWn8M_S2FA?si=tJPiEzuyw-6jSb3i
A Journey Through Another World: Raising Kids While Adventuring,"Studios: EMT Squared
Genres: Adventure, Fantasy",https://youtu.be/hJxveaQZd2s?si=LhD0wmlXgxzL-Rbx
Alya Sometimes Hides Her Feelings in Russian,"Studios: Doga Kobo
Genres: Comedy, Romance",https://youtu.be/MBM7qyH-YDY?si=paB3gkuTIVhTgTtX
Aoashi,"Studios: Production I.G
Genre: Sports",https://youtu.be/LOO3xyFijDk?si=sXM0lkUlet8kQJlb
Arifureta: From Commonplace to World's Strongest,"Studios: asread., White Fox
Genres: Action, Adventure, Fantasy",https://youtu.be/eZN3afhTyGY?si=-G2CYh4Da5I0t3XQ
Attack on Titan,"Studios: Wit Studio
Themes: Gore, Military, Survival",https://youtu.be/8OkpRK2_gVs?si=6HPtB1RfiQnWvCE-
Bakugan Battle Brawlers,"Studios: TMS Entertainment
Genres: Action, Fantasy",https://youtu.be/FtaSeAUVBVc?si=vv-Bhn48iejvgF27
Ben-To ,"Studios: David Production
Genres: Action, Comedy, Gourmet",https://youtu.be/4Vcif419h-o?si=trDEB91-PDpaofKS
Beyblade,"Studios: Madhouse
Genres: Adventure, Comedy, Sports",https://youtu.be/P8gZbrDNbHM?si=u66-4xJbmurHVcCf
